iter	RMSE
0	0.02529747457
1	0.0241929187
2	0.02311959832
3	0.02212754553
4	0.02123534336
5	0.02034823514
6	0.01952769931
7	0.01872503689
8	0.01797685497
9	0.01726188343
10	0.0165589371
11	0.01590404876
12	0.01530882778
13	0.01471481535
14	0.01416092899
15	0.01361686615
16	0.01310184366
17	0.01258312529
18	0.01209620419
19	0.01165587392
20	0.01123159762
21	0.01084475364
22	0.01049200966
23	0.01016962705
24	0.009815829593
25	0.009486700931
26	0.009160569732
27	0.008892719806
28	0.008616853388
29	0.008360709555
30	0.008115232565
31	0.007860265587
32	0.007643743877
33	0.007427352197
34	0.007217958835
35	0.007011139202
36	0.006827280242
37	0.006650698634
38	0.006479362105
39	0.006313600035
40	0.006169275217
41	0.006034658888
42	0.005892020654
43	0.005765004884
44	0.00563871709
45	0.005522306571
46	0.005402760646
47	0.005305823852
48	0.005216468565
49	0.005110519851
50	0.00500607393
51	0.004918040175
52	0.004822082931
53	0.004738818842
54	0.004652836774
55	0.004571154117
56	0.004502205403
57	0.00442818031
58	0.004357835756
59	0.004291914582
60	0.004227551421
61	0.00417779974
62	0.004122488368
63	0.004073120189
64	0.004007503271
65	0.003955728507
66	0.003907166349
67	0.003855037101
68	0.003806178128
69	0.003768512769
70	0.003731055109
71	0.003689177476
72	0.003632693205
73	0.003594806907
74	0.003560087966
75	0.003530674186
76	0.003502261068
77	0.003470054502
78	0.003437489104
79	0.003409223669
80	0.003381567404
81	0.003339421396
82	0.003310637946
83	0.003288694454
84	0.003259580584
85	0.003237715808
86	0.003217120694
87	0.003193078228
88	0.00317154914
89	0.003149273213
90	0.003133396882
91	0.003113517451
92	0.003095907735
93	0.003076526536
94	0.003062184639
95	0.003046321368
96	0.00302782332
97	0.003011301169
98	0.002993453804
99	0.002978660175
100	0.002964541866
101	0.00294500398
102	0.002932689977
103	0.002920000335
104	0.002910741807
105	0.002895493985
106	0.002884840971
107	0.002874155786
108	0.002863939015
109	0.002848125616
110	0.002838519985
111	0.002829256511
112	0.002820981402
113	0.00281366613
114	0.002806623009
115	0.002796885357
116	0.002785405909
117	0.002777405778
118	0.002771496393
119	0.002762346817
120	0.002754759995
121	0.002744894023
122	0.002738075372
123	0.002732281262
124	0.002726483791
125	0.0027197294
126	0.002714501904
127	0.002708182512
128	0.002702104222
129	0.002693915244
130	0.002689167328
131	0.002684357605
132	0.002679870006
133	0.002674437511
134	0.002670799305
135	0.002663633244
136	0.002658530209
137	0.002654119277
138	0.002651141492
139	0.002647738192
140	0.002643442805
141	0.002637611327
142	0.002632307665
143	0.00262651599
144	0.002619909336
145	0.002613975598
146	0.002609892369
147	0.002606549288
148	0.002600494312
149	0.002594347986
150	0.002591540066
151	0.002588146891
152	0.002585077235
153	0.002582511123
154	0.002579759365
155	0.002574663261
156	0.002571371644
157	0.002566313261
158	0.002563266029
159	0.002556093044
160	0.002551456053
161	0.002548065423
162	0.002543851443
163	0.002540891073
164	0.002537232292
165	0.002534687869
166	0.002531892369
167	0.002527509028
168	0.002523766022
169	0.002520985063
170	0.002517905564
171	0.002512984894
172	0.00251017543
173	0.00250795644
174	0.002505807891
175	0.002504079095
176	0.002500179454
177	0.002498018084
178	0.002493990709
179	0.002488683854
180	0.002486897409
181	0.002483478285
182	0.002480417534
183	0.002478009463
184	0.002473174258
185	0.002471060343
186	0.002468831003
187	0.002466657744
188	0.002463596448
189	0.002461522814
190	0.002459948005
191	0.002457304326
192	0.002455415027
193	0.002452910001
194	0.00245028072
195	0.002446382426
196	0.002443461717
197	0.002441436146
198	0.0024397991
199	0.002437439449
200	0.002434417161
201	0.002431072133
202	0.00242821912
203	0.002425820529
204	0.002423943965
205	0.002421585525
206	0.002420082345
207	0.002418888062
208	0.002417853444
209	0.002413761662
210	0.002411660215
211	0.002410491766
212	0.002407680973
213	0.002405578156
214	0.002401580093
215	0.002399622444
216	0.002397797646
217	0.00239511275
218	0.002393304569
219	0.002389619774
220	0.00238781878
221	0.002386669959
222	0.002385927844
223	0.002384022722
224	0.00238308753
225	0.00238072539
226	0.002378007086
227	0.002376503097
228	0.002374145433
229	0.002372046742
230	0.00236887763
231	0.002367376904
232	0.002366452537
233	0.002362740397
234	0.002361229909
235	0.002359178093
236	0.002357989468
237	0.00235571761
